t,x,z,a,z_t,a_t,d
0.50999999,"[0.004064008127897978, 0.005915926769375801]",0.382249989,backward,0.42174999,backward,FALSE
1.565999985,"[0.0027760255616158247, 0.017567332834005356]",0.42174999,backward,0.335749988,backward,FALSE
2.524999857,"[-0.001188353868201375, 0.01704089157283306]",0.335749988,backward,0.438499987,backward,FALSE
3.573999882,"[-0.010162525810301304, 0.02393566444516182]",0.438499987,backward,0.446249983,backward,FALSE
4.603999853,"[-0.01913514919579029, 0.030827529728412628]",0.446249983,backward,0.421249989,backward,FALSE
5.64199996,"[-0.028107913210988045, 0.037718288600444794]",0.421249989,backward,0.392999988,stay,FALSE
6.704999924,"[-0.032888010144233704, 0.04137597978115082]",0.392999988,stay,0.426499989,stay,FALSE
7.336999893,"[-0.03969881311058998, 0.04662209004163742]",0.426499989,stay,0.446749987,stay,FALSE
8.063999891,"[-0.04260804504156113, 0.055996913462877274]",0.446749987,stay,0.435749988,stay,FALSE
8.676999807,"[-0.043649639934301376, 0.06392469257116318]",0.435749988,stay,0.415249988,stay,FALSE
9.273999929,"[-0.04471728578209877, 0.07207823544740677]",0.415249988,stay,0.432249989,stay,FALSE
9.798999786,"[-0.04573092237114906, 0.07978621125221252]",0.432249989,stay,0.44149999,stay,FALSE
10.37699986,"[-0.04695872217416763, 0.08920779079198837]",0.44149999,stay,0.392999992,stay,FALSE
10.90099978,"[-0.04799674078822136, 0.09705977886915207]",0.392999992,stay,0.434249992,stay,FALSE
11.49299979,"[-0.04937191307544708, 0.10754259675741196]",0.434249992,stay,0.427749986,stay,FALSE
12.05499983,"[-0.05058543384075165, 0.11679266393184662]",0.427749986,stay,0.415249987,stay,FALSE
12.69799995,"[-0.05194501951336861, 0.1271803081035614]",0.415249987,stay,0.431999984,stay,FALSE
13.16999984,"[-0.05288558080792427, 0.13432572782039642]",0.431999984,stay,0.426999989,stay,FALSE
13.65699983,"[-0.05386577919125557, 0.14179730415344238]",0.426999989,stay,0.425749989,stay,FALSE
14.19799995,"[-0.05496969819068909, 0.15018996596336365]",0.425749989,stay,0.391249989,stay,FALSE
14.69499993,"[-0.055859558284282684, 0.1570872962474823]",0.391249989,stay,0.34324999,stay,FALSE
15.22099996,"[-0.05694271996617317, 0.16554753482341766]",0.34324999,stay,0.367749994,stay,FALSE
15.70699978,"[-0.057953059673309326, 0.17294904589653015]",0.367749994,stay,0.461999984,stay,FALSE
16.57799983,"[-0.05932919308543205, 0.18345730006694794]",0.461999984,stay,0.423749986,stay,FALSE
17.27799988,"[-0.06107373163104057, 0.19672268629074097]",0.423749986,stay,0.406999992,stay,FALSE
18.00899982,"[-0.06238391622900963, 0.20670072734355927]",0.406999992,stay,0.428999987,stay,FALSE
18.64699984,"[-0.06349249929189682, 0.21518532931804657]",0.428999987,stay,0.397249992,stay,FALSE
19.3119998,"[-0.06498518586158752, 0.2265174388885498]",0.397249992,stay,0.424499983,stay,FALSE
19.92199993,"[-0.0664220079779625, 0.2374877631664276]",0.424499983,stay,0.415249986,stay,FALSE
20.55699992,"[-0.06758756190538406, 0.24635708332061768]",0.415249986,stay,0.407499991,stay,FALSE
21.23899984,"[-0.06865129619836807, 0.25448328256607056]",0.407499991,stay,0.406999985,stay,FALSE
